,Average_Precision,prize_metric,Metric1,Reciprocal_rank,Coverage
scibert_average_agglomerative_2_PCA_3,0.1381,0.6896,0.0578,6.6,295.3
scibert_average_agglomerative_3_PCA_10,0.1372,0.6809,0.0565,3.9,318.7
scibert_average_agglomerative_7_isomap_5,0.137,0.6999,0.0605,3.9,314.4
scibert_average_kmeans_4_isomap_7,0.1369,0.694,0.059,6.7,298.1
scibert_average_agglomerative_3_isomap_2,0.1368,0.7008,0.0607,6.8,283.1
scibert_average_agglomerative_2_PCA_10,0.1365,0.6849,0.0568,6.2,302.9
scibert_average_agglomerative_7_PCA_3,0.1365,0.7075,0.0642,4.4,339.0
scibert_average_kmeans_2_PCA_7,0.1362,0.6955,0.0587,6.8,294.8
scibert_average_kmeans_2_PCA_3,0.1361,0.6938,0.0586,6.7,293.4
scibert_average_kmeans_3_PCA_7,0.1361,0.6757,0.0556,3.6,316.5
scibert_average_kmeans_2_isomap_2,0.1349,0.7398,0.0696,6.4,272.0
scibert_average_kmeans_7_isomap_2,0.1347,0.7039,0.06,4.9,309.5
scibert_average_kmeans_2_PCA_2,0.1345,0.6973,0.0592,6.6,290.5
scibert_average_agglomerative_4_PCA_2,0.1343,0.6914,0.0614,4.1,330.3
